Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Usva;4;;;2007;M.G. Soikkeli;Jumala, jumala, näytä sarves';;;;;;
Usva;4;;;2012;Nadja Sokura;Anna minulle kipusi;;;;;;
Usva;2;;;2016;Nadja Sokura;Eksyneiden asema;;;;;;
Usva;4;;;2008;Raili Suhonen;Konrad;;;;;;
Usva;1;;;2014;Shimo Suntila;Bibliofiili ja Pahanukke;;;;;;
Usva;1;;;2015;Shimo Suntila;Bibliofiili ja Suurkollektööri;;;;;;
Usva;1;;;2013;Shimo Suntila;Perintöesine;;;;;;
Usva;3;;;2012;Shimo Suntila;Sateenkaaren maku;;;;;;
Usva;1;;;2013;Shimo Suntila;Tomua;;;;;;
Usva;2;;;2006;Miina Supinen;Miten se ihmisen tappaa;;;;;;
Usva;1;;;2010;Timo Surkka;Lihan kaava;;;;;;
Usva;3;;;2009;Terhi Tarkiainen;Ikiäinen;;;;;;
Usva;2;;;2010;Terhi Tarkiainen;Kerrospaha;;;;;;
Usva;1;;;2010;Taina Teerialho;Albiinojen aika;;;;;;
Usva;1;;;2016;Christine Thorel;Ehkä meidät pelastettiin;;;;;;
Usva;2;;;2008;Christine Thorel;Pyryharakka;;;;;;
Usva;1;;;2012;Christine Thorel;Sydänmetsä;;;;;;
Usva;2;;;2009;Maija Tiitta;Jankulit;;;;;;
Usva;3;;;2007;Piia Tirronen;Karuselli;;;;;;
Usva;3;;;2008;Piia Tirronen;Kivien koulu;;;;;;
Usva;3;;;2007;Jani Torvinen;Poika;;;;;;
Usva;3;;;2007;Jani Torvinen;Unenkantaja;;;;;;
Usva;1;;;2006;Kari Tossavainen;Kasvualusta;;;;;;
Usva;2;;;2012;Kari Tossavainen;Suusta suuhun varhaisesta maisemasta;;;;;;
Usva;3;;;2013;Johannes Tuoni;Joka ikkunaa vasten painautuu;;;;runo;;
Usva;2;;;2008;Saana Tykkä;Siivetön;;;;;;
Usva;4;;;2007;Saana Tykkä;Sisko;;;;;;
Usva;2;;;2009;Mirka Ulanto;Heitä murhe mielestäsi / päästä paha tuuleen;;;;;;
Usva;4;;;2009;Susi Vaasjoki;Tähdenniemi;;;;;;
Usva;3;;;2008;Raimo Virtanen;Aikaan sinikellojen;;;;;;
Usva;4;;;2012;Aino Tuulikki Vähäpesola;3:30;;;;runo;;
Usva;4;;;2012;Aino Tuulikki Vähäpesola;15:30;;;;runo;;
Usva;4;;;2012;Aino Tuulikki Vähäpesola;F#-mollissa;;;;runo;;
Usva;4;;;2012;Aino Tuulikki Vähäpesola;Maapallon vapaapäivä;;;;runo;;
Usva;4;;;2012;Aino Tuulikki Vähäpesola;Desperatio/vuorovesi;;;;runo;;
Usva;4;;;2012;Aino Tuulikki Vähäpesola;Koko S, polyamidia, puuvillaa ja elastaania;;;;runo;;
Usva;1;;;2014;Hannu Väisänen;Kaksipäinen pyhimys;;;;;;
