Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Aikakone;4;;;1995;Wells, H(erbert) G(eorge);Uusia näkymiä (katkelma);The Further Vision;1895;Rosvall, Matti;;;
Aikakone;3;;;1991;Zajats, Vladimir;Temponautit - niin heitä kutsutaan;Temponavta - tak ih nazovut;1983;Hiekkanen, Ossi;;;
Aikakone;4;Vol.4 No.4;;1985;Zajdel, Janusz A.;Operaatio eläintarha;"Operacja ""Wiwarium""";1981;Salminen, Timo;;;
Aikakone;2;;;1993;Zelazny, Roger;Camelotin viimeinen puolustaja;The Last Defender of Camelot;1979;Peltonen, Leena;;;
Aikakone;2;;;1990;Ahonen, Marko;Dekkari 2028;;;;;;
Aikakone;1;;;1992;Ahonen, Marko;Kylä kaupungin laidalla;;;;;;
Aikakone;4;;;1991;Ahonen, Marko;Murha krapula-aamuna;;;;;;
Aikakone;3;;;1990;Ahonen, Marko;Sinisiä hetkiä sinisellä planeetalla;;;;;;
Aikakone;4;;;1995;Ahonen, Marko;Vamppi ja veteraani;;;;;;
Aikakone;4;;;1995;Alén, Johan;Jänis-tarina;;;;;;
Aikakone;1;1-2/1994-95;;1995;Alén, Johan;Pelastavat enkelit;;;;;raapale;
Aikakone;1;;;1992;Anonyymi;Kolumbuksen harharetki;;;;;raapale;
Aikakone;1;1-2/1994-95;;1995;Bärman, Aki;Ruususemme;;;;;raapale;
Aikakone;1;1-2/1994-95;;1995;de Vildemon, Jean-Jacques;Kutsumattomat vieraat;;;;;raapale;
Aikakone;4;;;1990;Elo, Eija;Krysanteemeja sakessa (ja hainlihaa);;;;;;
Aikakone;3;;;1987;Elo, Eija;Ne palaavat;;;;;;
Aikakone;1;;;1992;Elo, Eija;"""Tänä yönä ei ole vahtia Reinillä""";;;;;;
